Rank,Name,Industry,Revenue,Revenue_growth,Employees,Headquarters,Year,Type,Website,Latitude,Longitude,Number_of_subsidiaries,Age
80,Publix,Retail,54942,13.5%,242000,"Lakeland, Florida",1930,Private,https://www.publix.com/,28.0395,-81.95,1,93
81,Charter Communications,Telecommunications,54022,4.5%,101700,"Stamford, Connecticut",1993,Public,https://corporate.charter.com/,41.0534,-73.5387,100,30
82,Tyson Foods,Food Processing,53282,13.2%,142000,"Springdale, Arkansas",1935,Public,http://www.tysonfoods.com/,36.3728,-94.2088,10,88
83,John Deere,Agriculture manufacturing,52577,19.4%,82239,"Moline, Illinois",1868,Public,https://www.deere.com/,41.5067,-90.5175,10,155
84,Cisco,Telecom Hardware Manufacturing,51557,3.5%,83300,"San Jose, California",1984,Public,https://www.cisco.com/,37.339,-121.895,100,39
85,Nationwide Mutual Insurance Company,Financial,5145,8.6%,24791,"Columbus, Ohio",1926,Private,http://nationwide.com/,39.9612,-83.0,1,97
86,Allstate,Insurance,51412,3.4%,54250,"Northfield Township, Cook County, Illinois",1931,Public,http://allstate.com/,42.0334,-87.85,1,92
87,Delta Air Lines,Airline,50582,69.2%,95000,"Atlanta, Georgia",1925,Public,https://www.deltashop.com/,33.749,-84.388,10,98
88,Liberty Mutual,Insurance,49956,3.6%,50000,"Boston, Massachusetts",1912,Private,http://libertymutual.com/,42.3601,-71.0589,1,111
89,TJX,Retail,49936,2.9%,329000,"Framingham, Massachusetts",1987,Public,http://tjx.com/,42.263,-71.4131,10,36
90,Progressive Corporation,Insurance,49611,4.0%,55063,"Mayfield Village, Ohio",1937,Public,https://www.progressive.com/,41.5781,-81.4542,10,86
91,American Airlines,Airline,48971,63.9%,129700,"Fort Worth, Texas",1926,Public,https://www.aa.com/,32.7555,-97.3208,10,97
92,CHS,Agriculture cooperative,47194,24.3%,10014,"Inver Grove Heights, Minnesota",1931,Cooperative,http://www.chsinc.com/,44.8597,-93.042,10,92
93,Performance Food Group,Food Processing,47194,61.6%,34825,"Richmond, Virginia",1885,Public,https://www.pfgc.com/,37.5407,-77.436,10,138
94,PBF Energy,Petroleum industry,4683,71.8%,3616,"Parsippany–Troy Hills, New Jersey",2008,Public,http://pbfenergy.com/,40.8606,-74.4417,10,15
95,Nike,Apparel,4671,4.9%,79100,"Beaverton, Oregon",1964,Public,https://www.nike.com/,45.4927,-122.8038,10,59
96,Best Buy,Retail,46298,10.6%,71100,"Richfield, Minnesota",1966,Public,https://www.bestbuy.com/,44.8714,-93.2861,1,57
97,Bristol-Myers Squibb,Pharmaceutical industry,46159,0.5%,34300,"New York City, New York",1887,Public,http://bms.com/,40.7127,-74.0059,100,136
98,United Airlines,Airline,44955,82.5%,92795,"Chicago, Illinois",1926,Public,https://www.united.com/,41.8781,-87.6298,10,97
99,Thermo Fisher Scientific,Laboratory instruments,44915,14.5%,130000,"Waltham, Massachusetts",1956,Public,http://www.thermofisher.com/,42.3767,-71.2356,100,67
100,Qualcomm,Technology,442,31.7%,51000,"San Diego, California",1985,Public,https://www.qualcomm.com/,32.7157,-117.1611,100,38
